# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
0.013711702    	k              	7.60482326e-02	(7.48347757e-01 2.07009432e-01 1.87420348e-02)	1	1.00830574e-01	(1.98655223e+00 -2.25001350e-01 6.24995992e-01)	3
0.013711702    	epsilon        	9.38513130e-02	(8.40367940e-01 -1.37870132e-01 1.87835567e-01)	1	1.61660368e+00	(7.48315690e-01 6.25006297e-03 1.66462137e-01)	1
0.015283776    	p              	-9.81138016e+00	(2.28876440e+00 -4.25000068e-01 1.00000000e+00)	2	5.12271183e+03	(3.19483360e+00 4.25000000e-01 0.00000000e+00)	2
0.015283776    	p_rgh          	-3.32825294e+00	(2.03690628e+00 2.50001873e-02 5.74996389e-01)	3	5.38016698e+03	(3.19483435e+00 4.75000000e-01 5.24999858e-01)	2
0.015283776    	U              	(-2.42523150e-02 -1.83637846e-02 6.98711953e-05)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(2.98077850e-01 1.04988692e-02 3.37329067e-01)	(1.93616222e+00 4.75000326e-01 5.74995329e-01)	3
0.015283776    	alpha.water    	-7.76166248e-13	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000067e+00	(2.23832962e+00 -2.50000816e-02 3.74998259e-01)	2
0.015283776    	k              	7.39579290e-02	(8.30034071e-01 6.24999224e-03 1.87306826e-02)	1	1.01105802e-01	(1.98655267e+00 -3.25001221e-01 6.24996048e-01)	3
0.015283776    	epsilon        	9.55455473e-02	(8.40367940e-01 -1.37870132e-01 1.87835567e-01)	1	1.55208559e+00	(7.48315690e-01 6.25006297e-03 1.66462137e-01)	1
0.016855851    	p              	-9.81167467e+00	(2.28876440e+00 -4.25000068e-01 1.00000000e+00)	2	5.12296796e+03	(3.19483360e+00 4.25000000e-01 0.00000000e+00)	2
0.016855851    	p_rgh          	-3.38343921e+00	(2.03690673e+00 1.75001029e-01 5.74996423e-01)	3	5.37812507e+03	(3.19483435e+00 4.75000000e-01 5.24999858e-01)	2
0.016855851    	U              	(-2.67605747e-02 -2.02358931e-02 7.59164077e-05)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(3.26958679e-01 1.24026889e-02 3.70506769e-01)	(1.93616222e+00 4.75000326e-01 5.74995329e-01)	3
0.016855851    	alpha.water    	-1.24710714e-12	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000069e+00	(2.23832962e+00 -2.50000816e-02 3.74998259e-01)	2
0.016855851    	k              	7.18973981e-02	(6.57891131e-01 -6.25008746e-03 6.23600989e-03)	1	1.01475390e-01	(1.98655267e+00 -3.25001221e-01 6.24996048e-01)	3
0.016855851    	epsilon        	9.59463847e-02	(5.63244537e-01 -1.88592523e-01 8.75729297e-02)	1	1.49175914e+00	(7.48315690e-01 6.25006297e-03 1.66462137e-01)	1
0.018427925    	p              	-9.81199623e+00	(2.28876440e+00 -4.25000068e-01 1.00000000e+00)	2	5.12339988e+03	(3.19483360e+00 4.25000000e-01 0.00000000e+00)	2
0.018427925    	p_rgh          	-3.42851825e+00	(2.03690696e+00 -2.25001151e-01 5.74996445e-01)	3	5.37587718e+03	(3.19483435e+00 -4.75000000e-01 5.24999858e-01)	2
0.018427925    	U              	(-2.92668919e-02 -2.21066244e-02 8.24252629e-05)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(3.54411093e-01 1.40655465e-02 4.04449541e-01)	(1.93616222e+00 4.75000326e-01 5.74995329e-01)	3
0.018427925    	alpha.water    	-1.90220611e-12	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000057e+00	(2.23832962e+00 -2.50000816e-02 3.74998259e-01)	2
0.018427925    	k              	6.99106382e-02	(6.57891131e-01 -6.25008746e-03 6.23600989e-03)	1	1.01938095e-01	(1.98655267e+00 -3.25001221e-01 6.24996048e-01)	3
0.018427925    	epsilon        	9.57963784e-02	(5.63244537e-01 -1.88592523e-01 8.75729297e-02)	1	1.43527478e+00	(7.48315690e-01 6.25006297e-03 1.66462137e-01)	1
0.02           	p              	-9.81234575e+00	(2.28876440e+00 -4.25000068e-01 1.00000000e+00)	2	5.12381210e+03	(3.19483360e+00 4.25000000e-01 0.00000000e+00)	2
0.02           	p_rgh          	-3.47697447e+00	(2.03690715e+00 2.75001141e-01 5.74996472e-01)	3	5.37342340e+03	(3.19483435e+00 -4.75000000e-01 5.24999858e-01)	2
0.02           	U              	(-3.18066525e-02 -2.40026192e-02 8.87942847e-05)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(3.79837027e-01 1.54886576e-02 4.39055705e-01)	(1.93616222e+00 4.75000326e-01 5.74995329e-01)	3
0.02           	alpha.water    	-2.78234898e-12	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000091e+00	(2.23832962e+00 -2.50000816e-02 3.74998259e-01)	2
