# Region       : all 
# Cells        : 31280
# Volume       : 3.20955384e+00
# Time         	volIntegrate(alpha.water)
0.71556667     	6.64599321e-01
0.71645333     	6.64599320e-01
0.71734        	6.64599319e-01
0.71822667     	6.64599317e-01
0.71911333     	6.64599316e-01
0.72           	6.64599314e-01
0.72090909     	6.64599313e-01
0.72181818     	6.64599311e-01
0.72272727     	6.64599310e-01
0.72363636     	6.64599308e-01
0.72454545     	6.64599306e-01
0.72545455     	6.64599305e-01
0.72636364     	6.64599303e-01
0.72727273     	6.64599301e-01
0.72818182     	6.64599300e-01
0.72909091     	6.64599298e-01
0.73           	6.64599296e-01
0.73090909     	6.64599295e-01
0.73181818     	6.64599293e-01
0.73272727     	6.64599292e-01
0.73363636     	6.64599290e-01
0.73454545     	6.64599288e-01
0.73545455     	6.64599287e-01
0.73636364     	6.64599285e-01
0.73727273     	6.64599283e-01
0.73818182     	6.64599281e-01
0.73909091     	6.64599280e-01
0.74           	6.64599278e-01
0.74095238     	6.64599276e-01
0.74190476     	6.64599274e-01
0.74285714     	6.64599272e-01
0.74380952     	6.64599270e-01
0.7447619      	6.64599269e-01
0.74571429     	6.64599267e-01
0.74666667     	6.64599265e-01
0.74761905     	6.64599263e-01
0.74857143     	6.64599261e-01
0.74952381     	6.64599259e-01
0.75047619     	6.64599257e-01
0.75142857     	6.64599255e-01
0.75238095     	6.64599253e-01
0.75333333     	6.64599252e-01
0.75428571     	6.64599250e-01
0.7552381      	6.64599248e-01
0.75619048     	6.64599246e-01
0.75714286     	6.64599244e-01
0.75809524     	6.64599242e-01
0.75904762     	6.64599240e-01
0.76           	6.64599238e-01
0.761          	6.64599236e-01
0.762          	6.64599234e-01
0.763          	6.64599232e-01
0.764          	6.64599230e-01
0.765          	6.64599228e-01
0.766          	6.64599226e-01
0.767          	6.64599223e-01
0.768          	6.64599221e-01
0.769          	6.64599219e-01
0.77           	6.64599217e-01
0.771          	6.64599214e-01
0.772          	6.64599212e-01
0.773          	6.64599210e-01
0.774          	6.64599207e-01
0.775          	6.64599204e-01
0.776          	6.64599202e-01
0.777          	6.64599199e-01
0.778          	6.64599196e-01
0.779          	6.64599193e-01
0.78           	6.64599189e-01
0.78105263     	6.64599185e-01
0.78210526     	6.64599181e-01
0.78315789     	6.64599176e-01
0.78421053     	6.64599171e-01
0.78526316     	6.64599165e-01
0.78631579     	6.64599159e-01
0.78736842     	6.64599153e-01
0.78842105     	6.64599146e-01
0.78947368     	6.64599138e-01
0.79052632     	6.64599129e-01
0.79157895     	6.64599120e-01
0.79263158     	6.64599110e-01
0.79368421     	6.64599099e-01
0.79473684     	6.64599087e-01
0.79578947     	6.64599074e-01
0.79684211     	6.64599061e-01
0.79789474     	6.64599046e-01
0.79894737     	6.64599029e-01
0.8            	6.64599012e-01
0.80105263     	6.64598993e-01
0.80210526     	6.64598973e-01
0.80315789     	6.64598951e-01
0.80421053     	6.64598928e-01
0.80526316     	6.64598903e-01
0.80631579     	6.64598876e-01
0.80736842     	6.64598848e-01
0.80842105     	6.64598817e-01
0.80947368     	6.64598785e-01
0.81052632     	6.64598751e-01
0.81157895     	6.64598715e-01
0.81263158     	6.64598677e-01
0.81368421     	6.64598637e-01
0.81473684     	6.64598595e-01
0.81578947     	6.64598550e-01
0.81684211     	6.64598504e-01
0.81789474     	6.64598455e-01
0.81894737     	6.64598403e-01
0.82           	6.64598349e-01
0.82105263     	6.64598293e-01
0.82210526     	6.64598234e-01
0.82315789     	6.64598173e-01
0.82421053     	6.64598109e-01
0.82526316     	6.64598042e-01
0.82631579     	6.64597972e-01
0.82736842     	6.64597900e-01
0.82842105     	6.64597825e-01
0.82947368     	6.64597747e-01
0.83052632     	6.64597667e-01
0.83157895     	6.64597583e-01
